L1D,L1I,L2,Unrolling,Cycles
2,2,128,2,60081042
2,2,128,4,59891554
2,2,128,8,59725456
2,2,128,16,64577590
2,2,128,32,65964857
2,2,256,2,60072548
2,2,256,4,59879447
2,2,256,8,59724841
2,2,256,16,64567504
2,2,256,32,65945624
2,2,512,2,60044481
2,2,512,4,59851598
2,2,512,8,59695298
2,2,512,16,64535491
2,2,512,32,65915695
2,2,1024,2,60050932
2,2,1024,4,59859649
2,2,1024,8,59721495
2,2,1024,16,64590547
2,2,1024,32,65905894
2,4,128,2,60052006
2,4,128,4,59858033
2,4,128,8,59695527
2,4,128,16,59608257
2,4,128,32,64167239
2,4,256,2,60015379
2,4,256,4,59826980
2,4,256,8,59666432
2,4,256,16,59577220
2,4,256,32,64154741
2,4,512,2,59997548
2,4,512,4,59804658
2,4,512,8,59651582
2,4,512,16,59567628
2,4,512,32,64139482
2,4,1024,2,60002142
2,4,1024,4,59818325
2,4,1024,8,59668235
2,4,1024,16,59595748
2,4,1024,32,64132057
2,8,128,2,60027253
2,8,128,4,59839196
2,8,128,8,59682387
2,8,128,16,59582240
2,8,128,32,59447087
2,8,256,2,60028680
2,8,256,4,59843989
2,8,256,8,59679828
2,8,256,16,59588952
2,8,256,32,59433024
2,8,512,2,59989637
2,8,512,4,59796799
2,8,512,8,59640670
2,8,512,16,59558694
2,8,512,32,59419737
2,8,1024,2,60010763
2,8,1024,4,59819360
2,8,1024,8,59684784
2,8,1024,16,59604321
2,8,1024,32,59419589
2,16,128,2,60011401
2,16,128,4,59823426
2,16,128,8,59666611
2,16,128,16,59566667
2,16,128,32,59433718
2,16,256,2,59994356
2,16,256,4,59810595
2,16,256,8,59646506
2,16,256,16,59554474
2,16,256,32,59421670
2,16,512,2,59976177
2,16,512,4,59783328
2,16,512,8,59631870
2,16,512,16,59541266
2,16,512,32,59405973
2,16,1024,2,59987178
2,16,1024,4,59804852
2,16,1024,8,59653552
2,16,1024,16,59582937
2,16,1024,32,59403912
2,32,128,2,60006919
2,32,128,4,59812469
2,32,128,8,59662845
2,32,128,16,59563620
2,32,128,32,59430135
2,32,256,2,60011876
2,32,256,4,59825774
2,32,256,8,59663664
2,32,256,16,59572118
2,32,256,32,59416847
2,32,512,2,59982135
2,32,512,4,59797250
2,32,512,8,59632502
2,32,512,16,59551831
2,32,512,32,59406515
2,32,1024,2,59993107
2,32,1024,4,59802439
2,32,1024,8,59663097
2,32,1024,16,59588134
2,32,1024,32,59407995
2,64,128,2,60006280
2,64,128,4,59817249
2,64,128,8,59649940
2,64,128,16,59561536
2,64,128,32,59429607
2,64,256,2,60009586
2,64,256,4,59826030
2,64,256,8,59661082
2,64,256,16,59568382
2,64,256,32,59418854
2,64,512,2,59991357
2,64,512,4,59809313
2,64,512,8,59642188
2,64,512,16,59561520
2,64,512,32,59401007
2,64,1024,2,59977410
2,64,1024,4,59793795
2,64,1024,8,59649219
2,64,1024,16,59567103
2,64,1024,32,59396985
4,2,128,2,59974493
4,2,128,4,59780093
4,2,128,8,59623404
4,2,128,16,64469137
4,2,128,32,65792603
4,2,256,2,59955953
4,2,256,4,59757661
4,2,256,8,59613751
4,2,256,16,64458181
4,2,256,32,65789602
4,2,512,2,59928798
4,2,512,4,59739548
4,2,512,8,59578497
4,2,512,16,64420371
4,2,512,32,65770036
4,2,1024,2,59920018
4,2,1024,4,59730736
4,2,1024,8,59585682
